invoice issue date	cost of heating
11.2010	65
12.2019	91
1.2020	128
2.2020	123
3.2020	71
4.2020	22
5.2019	10
6.2020	5
7.2020	7
8.2020	8
9.2020	8
10.2020	24
2020-11-11	206
12.2020	290
1.2021	445
2.2021	571
3.2021	430
4.2021	167
5.2021	90
6.2021	53
7.2021	77
8.2021	78
9.2021	97
10.2021	138
11.2020	827
12.2021	891
1.2022	1017
2.2022	2000
2022-03-08	1331
4.2022	443
5.2022	213
6.2022	122
7.2022	90
8.2022	93
9.2022	116
10.2022	155
2022-11-09	1015
12.2022	1009
1/2022	1173
2/2023	1292
3/2023	1218
4/2023	478
5/2023	253
6/2023	83
7/2023	127
8/2025	128
9/2023	154
10/2023	204
11/2023	1387
12/2023	1316